Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
TR0402KR-072K4L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2400.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072K7L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2700.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072M2L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2200000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072M4L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2400000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072M7L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2700000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072ML;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2000000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072R2L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2.2;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072R4L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2.4;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072R7L;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2.7;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-072RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;2.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07300KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;300000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07300RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;300.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0730KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;30000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0730RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;30.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07330KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;330000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07330RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;330.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0733KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;33000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0733RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;33.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
