Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PE0603JRM070R039L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.039;±75ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0603JRM070R03L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.03;±75ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0603JRM070R047L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.047;±75ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0603JRM070R04L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.04;±75ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0603JRM070R05L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.05;±75ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0603JRM470R005L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.005;±75ppm/°C;±5%;2/5 (0.4);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0603JRM470R015L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.015;±75ppm/°C;±5%;2/5 (0.4);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0603JRM470R01L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.01;±75ppm/°C;±5%;2/5 (0.4);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0603JRM470R025L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.025;±75ppm/°C;±5%;2/5 (0.4);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0603JRM470R02L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;0.02;±75ppm/°C;±5%;2/5 (0.4);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
